ProductID,Name,Description,Price,Quantity
11,Women's adidas Originals Swift Run Shoes,"The Swift distills decades of adidas heritage running designs. Made for casual everyday wear, these lightweight knit shoes come with a sleek shape and a supportive yet flexible feel. They stand out with embroidered accents and smooth welded details. An EVA midsole adds all-day wearability.",7599,36
12,Women's adidas Originals Continental Vulc Shoes,These low-profile shoes come in a pastel color for a feminine touch. A mix of nubuck and canvas on the upper adds texture. The suede toe cap is abrasion-resistant so they look fresh and new longer. A vulcanized outsole makes them durable.,6599,35
13,Women's adidas Running Duramo 9 Shoes,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",5999,97
14,Women's adidas Originals Supercourt Shoes,"Forty years of court style, refined to the essentials. The clean, simple lines and supple leather upper of these shoes are a nod to tennis history. Iconic perforated 3-Stripes and a contrasting Trefoil heel tab give them a timeless look.",7599,62
15,Men's adidas Sport Inspired Response Trail Shoes,"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town.",7999,16
16,Women's adidas Running Cosmic 2 Shoes,"These women's running shoes have a breathable mesh upper to keep your feet ventilated on your daily runs. The Cloudfoam midsole provides plush cushioning with every stride, and a high-wear outsole holds up over time.",5999,69
17,Women's adidas Sport Inspired Storm Runner Shoes,"A fast, lightweight adidas stormrunner shoes for women. These running-inspired shoes are very comfortable for your daily routine. Made with textile upper and Cloudfoam midsole along with rubber outsole these shoes will provide comfort to your feet all day long.",4599,16
18,Women's adidas Sport Inspired Quickspike Shoes,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.",3999,8
19,WOMEN'S ADIDAS SWIM CLOUDFOAM FLIP FLOPS,A minimalist design with maximum post-workout comfort. These women's thong sandals feature a soft strap connected to a Cloudfoam footbed that cushions every step and dries quickly. A durable rubber outsole adds long-lasting wear.,3299,62
20,Women's adidas Sport Inspired Lite Racer Shoes,Unstoppable style. These shoes borrow their lightweight look and feel from celebrated runners. The airy mesh upper has a clean finish with monochrome 3-Stripes. Plush cushioning helps keep the ride smooth.,4299,67
21,Women's adidas Running Duramo 9 Shoes,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",5599,30
22,Women's adidas Sport Inspired Arcadeis Shoes,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,4299,43
23,Women's adidas Sport Inspired Videll Shoes,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3799,13
24,Women's adidas Running EnergyFalcon X Shoes,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",6599,81
25,Women's adidas Sport Inspired Videll Shoes,Extremely functional and subtle running-inspired shoes for women. Feature a textile mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3799,70
26,Women's adidas Running Hellion Z Shoes,Great everyday trainer for the runner in you to go that extra mile. The adidas Hellion Z shoes comes with mesh upper for providing lightweight and breathability to your feet.,3299,46
27,Women's adidas Sport Inspired Videll Shoes,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3799,63
28,Women's adidas Sport Inspired Arcadeis Shoes,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,4299,95
29,Women's adidas Sport Inspired Cloudfoam Pure Shoes,These women's running-inspired shoes cradle your feet with a mesh upper and a Memory Foam footbed that conforms to the shape of your foot. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,5599,15
30,Women's adidas Running Hellion Z Shoes,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground.",3299,34
31,Women's adidas Sport Inspired Yking 2.0 Shoes,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",3299,86
32,Women's adidas Running Hellion Z Shoes,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground.",3299,3
33,Women's adidas Sport Inspired Yking 2.0 Shoes,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",3299,67
34,Women's adidas Sport Inspired RunFalcon Shoes,"Start clocking miles in these lightweight running shoes. On the treadmill or the streets, they add comfort to each step with soft cushioning. The supportive trainers have an airy material-mix upper and a midfoot cage for extra support.",5599,5
35,Women's adidas Sport Inspired Quickspike Shoes,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.",3999,85
36,Women's adidas Sport Inspired Blaze Runner Shoes,Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.,5599,4
37,Women's adidas Sport Inspired Lite Racer CLN Shoes,"Designed with sleek lines for a minimalist look, these shoes have a light and breathable mesh upper. Pillowy cushioning delivers comfort that lasts all day.",4599,35
38,Women's adidas Sport Inspired Blaze Runner Shoes,Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.,5599,13
39,Women's adidas Nova Run X Shoes,"Being comfortable on your run is just as important as winning the race. These shoes combine soft, supportive Cloudfoam cushioning with a durable Adiwear outsole for comprehensive control and an energised ride. The mesh upper features a foot-hugging, no-sew fit for a locked-in feel.",8599,20
40,Women's adidas Sport Inspired Questar Flow Shoes,Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort.,6599,41
41,Women's adidas Sport Inspired Questar Flow Shoes,Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort.,6599,72
42,Women's adidas Running EnergyFalcon X Shoes,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",6599,32
43,Women's adidas Running Asweego Shoes,Shoes with flexibility and responsiveness for multisport training. These shoes have a knit textile upper that hugs the foot for a sock-like fit. Pillow-like midsole cushioning provides long-lasting comfort. Durable rubber inserts at the forefoot and heel provide added grip so you're ready for unexpected terrain.,7599,84
44,Women's adidas Running Sooraj Shoes,"Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes.",5599,75
45,Women's adidas Sport Inspired Questar Ride Shoes,"Inspired by modern tech runners, these women's shoes step out with unexpected style. A two-tone mesh upper keeps the feel flexible and mixes with a sculpted Cloudfoam midsole and contrast heel counter.",6999,4
46,Men's adidas Sport Inspired Run 70s Shoes,"These running-inspired shoes are designed with a mesh upper and a textile lining for flexible, all-day comfort. 3-Stripes and a rubber outsole give the shoes a stylish sign-off.",5599,48
47,Women's adidas Running Asweerun Shoes,"Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step.",4999,12
48,Women's adidas Sport Inspired Archivo Shoes,A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style.,4999,83
49,Women's Sport Inspired Yking 2.0 Shoes,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",3299,11
50,Women's adidas Sport Inspired Archivo Shoes,A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style.,4999,42
51,Women's adidas Running Response Trail X Shoes,"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town.",6999,69
52,Women's adidas Running EnergyFalcon X Shoes,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",6599,33
53,Women's adidas Originals Marathon Tech Shoes,"These shoes draft off the Marathon TR, a trail-running pioneer that debuted in 1979. The upper mixes breathable mesh and suede overlays with metallic details. A grid print on the midsole highlights the addition of responsive Boost cushioning.",11999,35
54,Women's adidas Originals U_Path Run Shoes,"The U_Path offers a sleek combination of retro and modern. These shoes are built of soft, breathable mesh for everyday wear. The unique D-ring lacing system is inspired by a '70s running sneaker design. A bungee heel piece provides support, and a lightweight EVA midsole adds all-day wearability.",7999,18
55,Men's adidas Sport Inspired Drogo Shoes,The adidas running-inspired shoes for men. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable and non slippery one piece super grip EVA midsole and outsole ensures maximum stability and grip on the ground.,2699,89
56,Women's adidas Originals Stan Smith Shoes,"Since it first hit the courts in the early '70s, the Stan Smith has become legendary for its timeless style. These shoes pay tribute to the iconic design by preserving the low-profile cupsole and perforated 3-Stripes. The allover floral print on the upper gives this version a fresh twist.",7999,47
57,Women's adidas Running Sooraj Shoes,"Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes.",5599,94
58,Women's adidas Originals U_Path Run Shoes,"The U_Path offers a sleek combination of retro and modern. These shoes are built of soft, breathable mesh for everyday wear. The unique D-ring lacing system is inspired by a '70s running sneaker design. A bungee heel piece provides support, and a lightweight EVA midsole adds all-day wearability.",7999,35
59,Men's adidas Sport Inspired Run 70s Shoes,"These running-inspired shoes are designed with a mesh upper and a textile lining for flexible, all-day comfort. 3-Stripes and a rubber outsole give the shoes a stylish sign-off.",5599,39
60,Men's adidas Running Nayo 1.0 shoes,"The adidas Nayo 1.0 shoes for men. These lightweight running shoes give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability while the Light strike EVA midsole provides premium cushioning's. Full Rubber outsole provides durability.",4999,98
61,Men's adidas Sports Inspired Lite Racer Shoes,The ultra-lightweight build of these shoes takes a running-inspired style to the streets. The sporty look has a breathable and durable mesh upper with stitched-on 3-Stripes. EVA cushioning provides lightweight comfort for every step.,4299,6
62,Men's adidas Running Nepton 2.0 Shoes,Sleek design with reflective three stripes makes it a contemporary yet functional shoe. Breathable textile upper for maximum ventilation and a cushioned midsole provides all-day comfort with rubber outsole for best durability in high wear areas.,5999,17
63,Women's adidas Running Aseerun Shoes,"Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step.",4999,77
64,Men's adidas Running Torik Shoes,"A well cushioned shoe with a fresher look that will appeal to young runners. Features Mesh upper for maximum ventilation, lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear.",4799,17
65,Men's adidas Sport Inspired Kalus 1.0 Shoes,"A well cushioned running-inspired shoes with a fresher look that will appeal to all. Features Mesh upper for maximum ventilation, lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear.",4599,28
66,Men's adidas Running Duramo 9 Shoes,"These men's running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",5999,88
67,Women's adidas Originals Continental 80 Shoes,The Continental 80 is an authentic reissue of an indoor sneaker from the '80s. These leather low top shoes show off a swooping stripe on the side and a split rubber cupsole.,7999,23
68,MEN'S adidas RUNNING YAMO 1.0 SHOES,The adidas Yamo 1.0 shoes for men. These lightweight running shoes have a combination of Synthetic with double layer Mesh ensure breathability and durability while the Lightstrike EVA midsole provides premium cushionings. Full Rubber outsole provides durability.,4799,8
69,men's ADIDAS RUNNING NEBULAR 1.0 SHOES,The premium looking adidas Nebular 1.0 Running shoes for men crafted with Mesh overlays which make it lightweight. The breathable sandwich Mesh offer extended ventilation and comfort. Light strike IMEVA midsole with full Rubber outsole provides durability.,4599,64
70,MEN'S ADIDAS RUNNING LEGUS SHOES,"Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability.",5999,52
71,Men's adidas Originals Supercourt Shoes,The Supercourt distills 40 years of adidas tennis style. This version of the classic low-profile shoes has perforated 3-Stripes on a crisp leather upper. Decorative stitching and overlays add texture and depth for a multilayered look.,7599,70
72,Men's adidas Toe Side II Slippers,"The adidas casual sandals for men with a striking camouflage design. Features stylish webbing straps, Diecut EVA midsole for stable cushioning and abrasion resistant rubber outsole with wet and dry traction pattern.",1299,59
73,Men's adidas Outdoor Elevate Sandals,Stylish and sleek adidas sandals for women are extremely lightweight. Adjustable straps enable optimal fit while the Synthetic upper and soft EVA footbed with fitted heel provide enhanced comfort. Rubber outsole with wet and dry traction pattern keeps you in control.,2799,14
74,men's ADIDAS RUNNING NEBULAR 1.0 SHOES,The premium looking adidas Nebular 1.0 Running shoes for men crafted with Mesh overlays which make it lightweight. The breathable sandwich Mesh offer extended ventilation and comfort. Light strike IMEVA midsole with full Rubber outsole provides durability.,4599,2
75,Men's adidas Originals Superstar Shoes,"These trainers born in the '70s keep the look classic with a coated leather upper. They feature all the authentic details, including zigzag edging on the tonal 3-Stripes and the signature rubber shell toe.",7999,38
76,Men's adidas Originals Stan Smith Shoes,The chic minimalism of the Stan Smith invites endless variation. These men's shoes are updated for the season with a subtle twist. A small cutout Trefoil makes a surprise appearance on the smooth leather upper.,7999,85
77,Men's adidas Sport Inspired Duramo Lite 2.0 Shoes,"Refine your interval training in these men's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",4999,6
78,Men's adidas Swim Ozor III Slippers,"The simple and stylish adidas Ozor III slippers for men. Best suited to match with your swimwear, these printed slippers have a soft footbed for additional comfort for your feet while the Synthetic strap with vents provides breathability proper fitting.",1299,46
79,Men's adidas Swim Gadi Slippers,These thongs are primed for warm-weather fun in a simple design with an urban inspired city graphic print on footbed and adidas brading featured on heel and strap.,1499,9
80,MEN'S ADIDAS RUNNING LEGUS SHOES,"Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability.",5999,87
81,Men's adidas Originals CAMPUS Low Shoes,"This men's classic sneaker stays close to its trendsetting '80s design, while staying modern for today's streets. Boasting a suede upper with contrast 3-Stripes and heel patch, these shoes feature a reinforced toe cap. The cupsole leaves a herringbone-pattern footprint for a retro twist.",7999,28
82,MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES,Style and performance go hand in hand in this adidas Helkin 3.0 Running shoes for men. The breathable upper Knit-Mesh offers maximum ventilation. EVA midsole and rubber outsole.,4599,87
83,MEN'S ADIDAS RUNNING LEGUS 1.0 SHOES,"Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability.",5599,66
84,Men's adidas Running Kollide Shoes,Extremely functional and subtle running shoes for men. The breathable and lightweight textile upper offer extended ventilation and comfort. The Cloudfoam midsole gives you cushioning you need everyday and Rubber outsole provides durability.,4799,54
85,Men's adidas Running Edge PR Shoes,"With a springy midsole and breathable upper, these men's running shoes are inspired by a racing flat. Bounce provides flexible cushioning for energised comfort, and a mesh upper keeps them lightweight.",7999,66
86,Men's adidas Originals FuturePacer Shoes,The Futurepacer reworks the revolutionary design of the 1984 Micropacer shoes to challenge old ideas of what a sneaker should look like. This futuristic style makes a statement with a fully reflective stretchy upper and a mix of premium leathers. A Boost midsole with textured EVA plugs returns energy with every stride.,19999,1
87,MEN'S ADIDAS ORIGINALS MICROPACER X R1 SHOES,"These shoes are a hybrid of retro and modern adidas designs. Made in leather with suede overlays, they combine the midsole look of the NMD_R1 with the vintage-tech upper of the 1984 Micropacer, born during an era when wearable technology was an exciting new concept. The Boost midsole adds durable energy return.",15999,94
88,Men's adidas Outdoor Andorian Shoes,"The adidas Andorian shoes for men are crafted with a strong, grippy outsole inspired by mountain bike tires, and a super durable Mesh and Synthetic upper. They come with Lightweight EVA midsole for stability and cushioning while the abrasion resistant rubber outsole provides aggressive traction for rough terrain.",4599,49
89,Men's adidas Sport Inspired Advantage Base Shoes,A court look emerges on the streets. These shoes have a sleek textile upper and a textured rubber cupsole.,4999,6
90,Men's adidas Running Galaxy 4 Shoes,Add miles to your running regimen in these men's shoes. They have a durable and breathable mesh upper with a midfoot cage for added support and stability. The plush Cloudfoam midsole delivers ultra-soft cushioning.,5299,99
91,MEN'S ADIDAS ESSENTIALS EEZAY FLIP-FLOPS,"These men's classic flip-flops offer a clean beach design. Featuring midsole cushioning, this essential footwear provides lightweight comfort in a simple silhouette.",1999,67
92,men's ADIDAS ORIGINALS PW HU HOLI STAN SMITH SHOES,"A style icon gets some love from one of today's top trendsetters. Pharrell Williams puts his creative spin on these shoes, which have all the clean, classic details of the beloved Stan Smith.",9999,49
93,MEN'S ADIDAS RUNNING ZETA 1.0 SHOES,"Designed to go the distance, these adidas Zeta 1.0 running shoes for men give optimum cushioning to your feet with full-length CLOUDFOAM and its stretch Mesh upper inspires comfortable familiarity. It's smart style details balance the clean design and the rubber outsole provides best durability.",5999,42
94,Men's adidas Running PureBounce+ Clima Shoes,"These running shoes are designed with 360 degrees of ventilation to help you stay cool on hot days. They have a lightweight and breathable mesh upper. A wide forefoot provides a stable platform for lateral movement, and energised cushioning provides comfort and flexibility.",8999,90
95,Men's adidas Running Duramo 9 Shoes,"These men's versatile running shoes are ideal for the treadmill or the trail. They feature a mesh upper for breathability and a seamless print overlay for additional support. Pillow-soft Cloudfoam cushions every stride, while the durable outsole holds up to everyday wear.",6599,88
96,MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES,Style and performance go hand in hand in this adidas Helkin 3.0 Running shoes for men. The breathable upper Knit-Mesh offers maximum ventilation. EVA midsole and rubber outsole.,4599,44
97,MEN'S ADIDAS RUNNING ARIUS 1.0 SHOES,The adidas Arius 1.0 Running shoes for men feature a comfortable two-tone Mesh upper with They come with Lightstrike IMEVA midsole for long term lightweight cushioning and shock absorption with a full rubber outsole for durability.,4999,74
98,Men's adidas Originals Skateboarding Seeley Shoes,"Designed so they're ready-to-ride with no wear-in time, these shoes draw on adidas heritage and reimagine it specifically for skateboarding. An abrasion-resistant suede upper holds up to daily park sessions, while the textile lining keeps your feet comfortable on or off the board. Tonal 3-Stripes and a linear Trefoil logo give these shoes low-key adidas style.",5999,19
99,MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES,Style and performance go hand in hand in this adidas Helkin 3.0 Running shoes for men. The breathable upper Knit-Mesh offers maximum ventilation. EVA midsole and rubber outsole.,4599,54
100,Men's adidas Running Grito Shoes,"Great everyday shoes for runners to go that extra mile. Features Textile Mesh upper for maximum ventilation, lightstrike EVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear.",4799,79
101,Men's adidas Running Nepton 2.0 Shoes,"Energize your run while staying comfortable with this new design, your ride will be smooth and effortless. Breathable textile upper for maximum ventilation and a cushioned midsole provides all-day comfort with rubber outsole for best durability in high wear areas.",5599,5
102,Men's adidas Running Bound Shoes,Sleek running shoes for men. These shoes have a lightweight look and feel in honeycomb mesh. Cloudfoam cushioning delivers superior step-in comfort.,4999,96
103,Men's adidas Outdoor Terra Light Sandals,"Step out in these adidas Terra Light sandals for men. Made with adjustable straps, the Synthetic upper has a adjustable straps with EVA midsole for stable cushioning and Textured footbed for comfort. They come with Traxion outsole which helps in wet conditions and suitable for light hikes.",3599,41
104,Men's adidas Swim Gladi 19 Slippers,"The adidas Gladi 19 Slippers for men. Features stylish webbing textile and synthetic straps, and textured rubber footbed and outsole.",1599,8
105,Men's adidas Running Torik Shoes,"A well cushioned shoe with a fresher look that will appeal to young runners. Features Mesh upper for maximum ventilation, lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear.",4799,80
106,Men's adidas Toe Side II Slippers,"The adidas casual sandals for men with a striking camouflage design. Features stylish webbing straps, Diecut EVA midsole for stable cushioning and abrasion resistant rubber outsole with wet and dry traction pattern.",1299,22
107,Men's adidas Sport Inspired Nebular 2 Shoes,Style and performance go hand in hand in this adidas running-inspired shoes for men. Featuring Textile-Mesh upper for lightweight and breathability with Rubber outsole for durability.,4999,94
108,Men's adidas Running Kollide Shoes,Extremely functional and subtle running shoes for men. The breathable and lightweight textile upper offer extended ventilation and comfort. The Cloudfoam midsole gives you cushioning you need everyday and Rubber outsole provides durability.,4799,68
109,Men's adidas Sport Inspired Netpoint Shoes,The adidas Netpoint shoes for men are inspired by the styles of 80s. The Ortholite cushioned sockliner provides comfort to the feet. It comes with a leather upper and the adidas embossed 3 stripes along with adidas wordmark makes them stylish.,6599,3
110,Men's adidas Running Whizz Shoes,"These men's running shoes keep you comfortable so you stay focused on your running goals. They feature a textile upper that wraps around the midfoot to give you stability where you need it most. Cloudfoam cushioning offers comfort with every stride, while a handy heel pull helps you get them on in a hurry.",5599,46
111,Women's adidas Originals Continental 80 Shoes,"Part of the Out Loud collection, these shoes celebrate those who dare to live life on their own terms. This version of the retro Continental 80 has a satin upper with bold prints inspired by vintage Italian textiles. The distinctive split cupsole has an EVA insert for a comfortable, flexible feel.",8999,50
112,Men's adidas Tennis Courtsmash Shoes,"Take to the court with confidence in these men's tennis shoes. Designed for the casual player, they feature a durable and stable leather upper with mesh at the heel. Lightweight cushioning keeps you comfortable during long rallies, while a rubber outsole delivers strong grip.",5599,75
113,Men's adidas Outdoor Terra Light Sandals,"Step out in these adidas Terra Light sandals for men. Made with adjustable straps, the Synthetic upper has a adjustable straps with EVA midsole for stable cushioning and Textured footbed for comfort. They come with Traxion outsole which helps in wet conditions and suitable for light hikes.",3599,71
114,Men's adidas Running Sedna Shoes,"The adidas Running shoes for men. These lightweight shoes give all round comfort, cushioning, durability & support in a simplistic design. The combination of Textile-Mesh upper ensure breathability and durability while the Lightstrike EVA midsole provides premium cushioning. Full Rubber outsole provides durability.",4299,48
115,Men's adidas Running Nepton 2.0 Shoes,"Energize your run while staying comfortable with this new design, your ride will be smooth and effortless. Breathable textile upper for maximum ventilation and a cushioned midsole provides all-day comfort with rubber outsole for best durability in high wear areas.",5599,36
116,Men's adidas Running PureBounce+ Street Shoes,"Made for fast runs on city streets, these shoes have a wide forefoot for added support and stability during side-to-side movement. Flexible cushioning delivers long-lasting comfort and a low-to-the-ground feel.",7999,7
117,Women's adidas Originals Deerupt Runner Shoes,"Proof that minimalism can be bold. These shoes put an innovative spin on adidas running heritage of the '80s. The mesh upper is covered in stretchy webbing that provides support and hugs the foot. Inside, zoned cushioning gives a soft, comfortable step-in feel.",8999,69
